name,accuracy,f1-score,precision,recall
iplen_token_transformer_1000_64_50_0.0001_512_256_3_0.3_256_128,0.9386,0.9386,0.9392,0.9388
iplen_token_transformer_1000_64_50_0.0001_512_256_3_0.3_256_128,0.9398,0.9402,0.9406,0.9403
iplen_token_transformer_1000_64_50_0.0001_512_256_3_0.3_256_128,0.9357,0.9353,0.9368,0.9359
iplen_token_transformer_1000_64_50_0.0001_512_256_3_0.3_256_128,0.9296,0.9298,0.9308,0.9295
iplen_token_transformer_1000_64_50_0.0001_512_256_3_0.3_256_128,0.9376,0.9371,0.9376,0.9372
