name,accuracy,f1-score,precision,recall
tcpdport_robust_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.3522,0.3376,0.402,0.3533
tcpdport_robust_bigru_500_32_5_0.001_128_128_3_0.3_128_128,0.0102,0.0002,0.0001,0.011
tcpdport_robust_lstm_500_32_5_0.001_128_128_3_0.3_128_128,0.1668,0.1012,0.1018,0.1664
tcpdport_robust_bilstm_500_32_5_0.001_128_128_3_0.3_128_128,0.1122,0.0762,0.083,0.1122
tcpdport_robust_rnn_500_32_5_0.001_128_128_3_0.3_128_128,0.1391,0.1079,0.1152,0.1395
tcpdport_robust_birnn_500_32_5_0.001_128_128_3_0.3_128_128,0.0102,0.0002,0.0001,0.011
