name,accuracy,f1-score,precision,recall
ipttl_token_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.2921,0.264,0.3014,0.2933
ipttl_token_bigru_500_32_5_0.001_128_128_3_0.3_128_128,0.2182,0.1733,0.2121,0.2188
ipttl_token_lstm_500_32_5_0.001_128_128_3_0.3_128_128,0.0102,0.0002,0.0001,0.011
ipttl_token_bilstm_500_32_5_0.001_128_128_3_0.3_128_128,0.1655,0.1122,0.1201,0.1641
ipttl_token_rnn_500_32_5_0.001_128_128_3_0.3_128_128,0.0813,0.0459,0.0556,0.0806
ipttl_token_birnn_500_32_5_0.001_128_128_3_0.3_128_128,0.1134,0.0868,0.0926,0.1135
