name,accuracy,f1-score,precision,recall
ipid_robust_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0102,0.0002,0.0001,0.011
ipid_robust_bigru_500_32_5_0.001_128_128_3_0.3_128_128,0.0102,0.0002,0.0001,0.011
ipid_robust_lstm_500_32_5_0.001_128_128_3_0.3_128_128,0.0102,0.0002,0.0001,0.011
ipid_robust_bilstm_500_32_5_0.001_128_128_3_0.3_128_128,0.0102,0.0002,0.0001,0.011
ipid_robust_rnn_500_32_5_0.001_128_128_3_0.3_128_128,0.0102,0.0002,0.0001,0.011
ipid_robust_birnn_500_32_5_0.001_128_128_3_0.3_128_128,0.0102,0.0002,0.0001,0.011
