name,accuracy,f1-score,precision,recall
ipsrc_token_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.5163,0.5113,0.5575,0.5167
ipsrc_token_bigru_500_32_5_0.001_128_128_3_0.3_128_128,0.5115,0.5051,0.5599,0.5119
ipsrc_token_lstm_500_32_5_0.001_128_128_3_0.3_128_128,0.4955,0.488,0.5378,0.4971
ipsrc_token_bilstm_500_32_5_0.001_128_128_3_0.3_128_128,0.5739,0.5702,0.6113,0.5761
ipsrc_token_rnn_500_32_5_0.001_128_128_3_0.3_128_128,0.2547,0.2246,0.2574,0.2563
ipsrc_token_birnn_500_32_5_0.001_128_128_3_0.3_128_128,0.2719,0.2567,0.3211,0.2717
