name,accuracy,f1-score,precision,recall
tcpdataofs_power_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.2217,0.2071,0.2321,0.2226
tcpdataofs_power_bigru_500_32_5_0.001_128_128_3_0.3_128_128,0.2228,0.2179,0.258,0.2234
tcpdataofs_power_lstm_500_32_5_0.001_128_128_3_0.3_128_128,0.107,0.0836,0.1035,0.1065
tcpdataofs_power_bilstm_500_32_5_0.001_128_128_3_0.3_128_128,0.1689,0.1529,0.1845,0.1699
tcpdataofs_power_rnn_500_32_5_0.001_128_128_3_0.3_128_128,0.0666,0.045,0.0421,0.0656
tcpdataofs_power_birnn_500_32_5_0.001_128_128_3_0.3_128_128,0.0102,0.0002,0.0001,0.011
