name,accuracy,f1-score,precision,recall
ipdst_token_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.4939,0.4891,0.5378,0.4947
ipdst_token_bigru_500_32_5_0.001_128_128_3_0.3_128_128,0.4614,0.4659,0.5276,0.4627
ipdst_token_lstm_500_32_5_0.001_128_128_3_0.3_128_128,0.4774,0.4679,0.522,0.4784
ipdst_token_bilstm_500_32_5_0.001_128_128_3_0.3_128_128,0.5437,0.5369,0.5742,0.5475
ipdst_token_rnn_500_32_5_0.001_128_128_3_0.3_128_128,0.2262,0.2138,0.2568,0.2272
ipdst_token_birnn_500_32_5_0.001_128_128_3_0.3_128_128,0.2288,0.211,0.2512,0.229
