name,accuracy,f1-score,precision,recall
ipflags_token_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0233,0.0179,0.032,0.0235
ipflags_token_bigru_500_32_5_0.001_128_128_3_0.3_128_128,0.0237,0.0185,0.0327,0.0239
ipflags_token_lstm_500_32_5_0.001_128_128_3_0.3_128_128,0.0233,0.0171,0.0298,0.0235
ipflags_token_bilstm_500_32_5_0.001_128_128_3_0.3_128_128,0.0234,0.0181,0.0323,0.0236
ipflags_token_rnn_500_32_5_0.001_128_128_3_0.3_128_128,0.0102,0.0002,0.0001,0.011
ipflags_token_birnn_500_32_5_0.001_128_128_3_0.3_128_128,0.0102,0.0002,0.0001,0.011
