name,accuracy,f1-score,precision,recall
ipproto_token_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0102,0.0002,0.0001,0.011
ipproto_token_bigru_500_32_5_0.001_128_128_3_0.3_128_128,0.0102,0.0002,0.0001,0.011
ipproto_token_lstm_500_32_5_0.001_128_128_3_0.3_128_128,0.0195,0.0031,0.0022,0.0196
ipproto_token_bilstm_500_32_5_0.001_128_128_3_0.3_128_128,0.0195,0.0032,0.0042,0.0196
ipproto_token_rnn_500_32_5_0.001_128_128_3_0.3_128_128,0.0192,0.003,0.0019,0.0193
ipproto_token_birnn_500_32_5_0.001_128_128_3_0.3_128_128,0.0102,0.0002,0.0001,0.011
