name,accuracy,f1-score,precision,recall
ipihl_zscore_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0102,0.0002,0.0001,0.011
ipihl_zscore_bigru_500_32_5_0.001_128_128_3_0.3_128_128,0.0102,0.0002,0.0001,0.011
ipihl_zscore_lstm_500_32_5_0.001_128_128_3_0.3_128_128,0.0104,0.0005,0.0007,0.0112
ipihl_zscore_bilstm_500_32_5_0.001_128_128_3_0.3_128_128,0.0113,0.0005,0.0007,0.0112
ipihl_zscore_rnn_500_32_5_0.001_128_128_3_0.3_128_128,0.0103,0.0004,0.0006,0.0111
ipihl_zscore_birnn_500_32_5_0.001_128_128_3_0.3_128_128,0.0102,0.0002,0.0001,0.011
