name,accuracy,f1-score,precision,recall
tcpflags_token_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.3803,0.3709,0.4249,0.3811
tcpflags_token_bigru_500_32_5_0.001_128_128_3_0.3_128_128,0.4438,0.4461,0.5095,0.4446
tcpflags_token_lstm_500_32_5_0.001_128_128_3_0.3_128_128,0.4033,0.4034,0.464,0.4039
tcpflags_token_bilstm_500_32_5_0.001_128_128_3_0.3_128_128,0.4534,0.4575,0.5163,0.4536
tcpflags_token_rnn_500_32_5_0.001_128_128_3_0.3_128_128,0.1639,0.1455,0.1779,0.1647
tcpflags_token_birnn_500_32_5_0.001_128_128_3_0.3_128_128,0.188,0.1751,0.2204,0.189
