name,accuracy,f1-score,precision,recall
tcpwindow_token_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.5975,0.6013,0.6496,0.5979
tcpwindow_token_bigru_500_32_5_0.001_128_128_3_0.3_128_128,0.6717,0.6623,0.6835,0.6673
tcpwindow_token_lstm_500_32_5_0.001_128_128_3_0.3_128_128,0.5345,0.5368,0.5883,0.5321
tcpwindow_token_bilstm_500_32_5_0.001_128_128_3_0.3_128_128,0.6333,0.6334,0.6738,0.6303
tcpwindow_token_rnn_500_32_5_0.001_128_128_3_0.3_128_128,0.4626,0.4537,0.5116,0.4561
tcpwindow_token_birnn_500_32_5_0.001_128_128_3_0.3_128_128,0.5689,0.5698,0.6237,0.5654
