name,accuracy,f1-score,precision,recall
ipflags_token_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0141,0.0006,0.0003,0.02
ipflags_token_bigru_500_32_5_0.001_128_128_3_0.3_128_128,0.0141,0.0006,0.0003,0.02
ipflags_token_lstm_500_32_5_0.001_128_128_3_0.3_128_128,0.0158,0.0006,0.0003,0.02
ipflags_token_bilstm_500_32_5_0.001_128_128_3_0.3_128_128,0.0141,0.0006,0.0003,0.02
ipflags_token_rnn_500_32_5_0.001_128_128_3_0.3_128_128,0.0171,0.0007,0.0003,0.02
ipflags_token_birnn_500_32_5_0.001_128_128_3_0.3_128_128,0.0141,0.0006,0.0003,0.02
