name,accuracy,f1-score,precision,recall
tcpdport_token_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.7521,0.7482,0.7689,0.752
tcpdport_token_bigru_500_32_5_0.001_128_128_3_0.3_128_128,0.7403,0.7362,0.766,0.7386
tcpdport_token_lstm_500_32_5_0.001_128_128_3_0.3_128_128,0.7475,0.7413,0.7694,0.7464
tcpdport_token_bilstm_500_32_5_0.001_128_128_3_0.3_128_128,0.7459,0.7401,0.7701,0.7446
tcpdport_token_rnn_500_32_5_0.001_128_128_3_0.3_128_128,0.7364,0.7337,0.7636,0.7327
tcpdport_token_birnn_500_32_5_0.001_128_128_3_0.3_128_128,0.6937,0.6929,0.742,0.6918
