name,accuracy,f1-score,precision,recall
pkttsdiff_power_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.1129,0.0984,0.137,0.1148
pkttsdiff_power_bigru_500_32_5_0.001_128_128_3_0.3_128_128,0.086,0.0593,0.1027,0.0876
pkttsdiff_power_lstm_500_32_5_0.001_128_128_3_0.3_128_128,0.0624,0.0354,0.0337,0.0666
pkttsdiff_power_bilstm_500_32_5_0.001_128_128_3_0.3_128_128,0.0575,0.0321,0.04,0.0578
pkttsdiff_power_rnn_500_32_5_0.001_128_128_3_0.3_128_128,0.0919,0.062,0.0731,0.0904
pkttsdiff_power_birnn_500_32_5_0.001_128_128_3_0.3_128_128,0.0923,0.0695,0.0835,0.091
