name,accuracy,f1-score,precision,recall
ipchksum_token_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0739,0.0581,0.0694,0.0724
ipchksum_token_bigru_500_32_5_0.001_128_128_3_0.3_128_128,0.0801,0.0622,0.0652,0.0797
ipchksum_token_lstm_500_32_5_0.001_128_128_3_0.3_128_128,0.0617,0.0382,0.0351,0.061
ipchksum_token_bilstm_500_32_5_0.001_128_128_3_0.3_128_128,0.0568,0.0392,0.0584,0.0579
ipchksum_token_rnn_500_32_5_0.001_128_128_3_0.3_128_128,0.0181,0.0014,0.0007,0.0193
ipchksum_token_birnn_500_32_5_0.001_128_128_3_0.3_128_128,0.0972,0.0641,0.0653,0.0956
