name,accuracy,f1-score,precision,recall
ipihl_none_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0161,0.0006,0.0003,0.02
ipihl_none_bigru_500_32_5_0.001_128_128_3_0.3_128_128,0.0158,0.0006,0.0003,0.02
ipihl_none_lstm_500_32_5_0.001_128_128_3_0.3_128_128,0.0158,0.0006,0.0003,0.02
ipihl_none_bilstm_500_32_5_0.001_128_128_3_0.3_128_128,0.0164,0.0006,0.0003,0.02
ipihl_none_rnn_500_32_5_0.001_128_128_3_0.3_128_128,0.0158,0.0006,0.0003,0.02
ipihl_none_birnn_500_32_5_0.001_128_128_3_0.3_128_128,0.0141,0.0006,0.0003,0.02
