name,accuracy,f1-score,precision,recall
pktdir_token_gru_500_32_5_0.001_128_128_3_0.3_128_128,0.0772,0.0519,0.0813,0.0769
pktdir_token_bigru_500_32_5_0.001_128_128_3_0.3_128_128,0.086,0.0602,0.0845,0.0835
pktdir_token_lstm_500_32_5_0.001_128_128_3_0.3_128_128,0.0617,0.0319,0.0236,0.0616
pktdir_token_bilstm_500_32_5_0.001_128_128_3_0.3_128_128,0.0673,0.0306,0.0352,0.0677
pktdir_token_rnn_500_32_5_0.001_128_128_3_0.3_128_128,0.0739,0.0475,0.0452,0.0728
pktdir_token_birnn_500_32_5_0.001_128_128_3_0.3_128_128,0.0946,0.0655,0.0951,0.095
