name,accuracy,f1-score,precision,recall
iplen_token_bigru_3000_64_50_0.001_512_256_3_0.3_256_128_1000_100_0,0.946,0.9481,0.9567,0.9464
iplen_token_bigru_3000_64_50_0.001_512_256_3_0.3_256_128_1000_100_100,0.7441,0.7566,0.7928,0.7443
iplen_token_bigru_3000_64_50_0.001_512_256_3_0.3_256_128_1000_100_200,0.6061,0.6298,0.6825,0.6054
iplen_token_bigru_3000_64_50_0.001_512_256_3_0.3_256_128_1000_100_300,0.4573,0.4982,0.5875,0.4575
iplen_token_bigru_3000_64_50_0.001_512_256_3_0.3_256_128_1000_100_400,0.3926,0.4413,0.5722,0.394
iplen_token_bigru_3000_64_50_0.001_512_256_3_0.3_256_128_1000_100_500,0.3897,0.4227,0.4986,0.391
iplen_token_bigru_3000_64_50_0.001_512_256_3_0.3_256_128_1000_100_600,0.2859,0.3602,0.6442,0.2864
iplen_token_bigru_3000_64_50_0.001_512_256_3_0.3_256_128_1000_100_700,0.1984,0.2526,0.4906,0.1999
iplen_token_bigru_3000_64_50_0.001_512_256_3_0.3_256_128_1000_100_800,0.2456,0.3027,0.5288,0.2481
iplen_token_bigru_3000_64_50_0.001_512_256_3_0.3_256_128_1000_100_900,0.2026,0.2599,0.5645,0.2045
iplen_token_bigru_3000_64_50_0.001_512_256_3_0.3_256_128_1000_100_1000,0.1949,0.2461,0.5404,0.1973
iplen_token_bigru_3000_64_50_0.001_512_256_3_0.3_256_128_1000_100_1100,0.203,0.2485,0.5023,0.2042
iplen_token_bigru_3000_64_50_0.001_512_256_3_0.3_256_128_1000_100_1200,0.1887,0.236,0.474,0.1908
iplen_token_bigru_3000_64_50_0.001_512_256_3_0.3_256_128_1000_100_1300,0.1854,0.227,0.454,0.1869
iplen_token_bigru_3000_64_50_0.001_512_256_3_0.3_256_128_1000_100_1400,0.0102,0.0002,0.0001,0.011
iplen_token_bigru_3000_64_50_0.001_512_256_3_0.3_256_128_1000_100_1500,0.1574,0.1892,0.3816,0.1592
iplen_token_bigru_3000_64_50_0.001_512_256_3_0.3_256_128_1000_100_1600,0.1672,0.2011,0.3821,0.1682
iplen_token_bigru_3000_64_50_0.001_512_256_3_0.3_256_128_1000_100_1700,0.0102,0.0002,0.0001,0.011
iplen_token_bigru_3000_64_50_0.001_512_256_3_0.3_256_128_1000_100_1800,0.1246,0.144,0.3458,0.1251
iplen_token_bigru_3000_64_50_0.001_512_256_3_0.3_256_128_1000_100_1900,0.1182,0.1342,0.2456,0.1188
iplen_token_bigru_3000_64_50_0.001_512_256_3_0.3_256_128_1000_100_2000,0.1191,0.1363,0.2732,0.1203
